time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-0.0030882752423443214,0.0009732014278685918,9.987455928975624,4.479805391501422,3.475210315701659,0.0,-0.14630902199012147,0.026339508479191934,-0.43755168599078587,0.7319941708143574,0.6445735317062431,0.0,-231.1218442601257,-316.9315171364433,-209.54766796155957,311.97032751995425
0.12000000000000001,-0.004496824163788693,0.009936681538026274,9.949065391470729,0.1411081022441536,4.3859679647444025,0.0,0.15880607410731495,0.12719003312581217,-0.8445898114346508,-2.553047309228683,2.181683621194568,0.0,-187.9910418640246,-385.75149882040563,-544.1172525924554,237.06892777232332
0.18,0.009687787706642238,0.016597986483243475,9.877507553119518,0.8946790678061918,4.215050849394828,0.0,0.2092688839593869,0.014509023899490214,-1.6062710571863494,-2.884071504153162,4.91900645135953,0.0,-53.81364631431245,-460.75579550668175,-521.8585021291666,491.2314525817418
0.23999999999999996,0.028324241384156665,0.012296586132062392,9.76409203048229,1.0734220440439017,1.2470232708964417,0.0,0.4071311262780606,-0.16728285453950623,-2.0813895062528234,-3.7773383952111574,6.754207507859049,0.0,-238.32968836351256,-469.92031477584067,-532.8871585195519,457.0784382898652
0.3,0.04769717472143678,0.005018182277808048,9.623204917607278,1.0376838989700685,4.431105850128981,0.0,0.2325351889545702,-0.11930013672466817,-2.6385355915701423,-3.9298669993522184,7.794277809949802,0.0,-73.37962502404864,-361.41677764140115,-502.0539920025609,476.0691223480261
0.36000000000000004,0.07245373540090523,-0.003403579726540141,9.446883104755367,5.959747463524158,1.9832665512984438,0.0,0.5454527990109885,-0.18287683090537227,-3.163464426462018,-5.102191267627769,9.17308355882374,0.0,-30.610176571101395,-410.3024276031068,-434.88600850942714,292.11711502629
0.4200000000000001,0.09467846226364783,-0.01256478153335144,9.237069168334218,2.3168133626236695,4.209001813750353,0.0,0.26949831231691396,-0.057547969377347685,-3.747729369516626,-7.474149571453237,10.475587616907259,0.0,-62.1313553444728,-435.1800724342876,-486.91528657185233,172.2280202665361
0.48000000000000015,0.11851049763288217,-0.017839825740616586,8.996702920808003,2.3337178502876483,4.860314694363565,0.0,0.5322791949614014,-0.0986987679040438,-4.282062453342931,-7.711346035955529,10.422195557013858,0.0,-62.58380652038951,-326.5416712753784,-367.13483902913083,248.68074895517822
0.5400000000000001,0.168724264054283,-0.01854556530586406,8.721893499508058,0.8905264092643783,2.839523281024647,0.0,1.1417890679661862,0.07329967636316838,-4.875869808330151,-9.619872488989547,11.810513163680888,0.0,-62.51592050496885,-470.50733771808865,-594.8449704663126,382.26079011547733
0.6000000000000002,0.23577160053432794,-0.025751581105242984,8.40615550832753,1.6250887332884192,3.7796692367318894,0.0,1.156186937848405,-0.33378212841970256,-5.594317334922693,-10.016770108145703,11.64320916637161,0.0,58.16748934480975,-354.60770884215304,-504.6357222839612,364.68356848901425
0.6600000000000003,0.3163294701056794,-0.051748126891001514,8.054659699764365,1.2630758702066185,6.022949783940822,0.0,1.5492143392237692,-0.3775534163238523,-6.114673190677585,-10.186883865580915,12.070706544945105,0.0,-102.79631240352663,-421.1582085849593,-488.64048107652025,357.0136187317054
0.7200000000000003,0.4131993447249601,-0.06791548739227789,7.676985252500178,4.711480971879732,3.491328190451611,0.0,1.7552832710804218,-0.21134864271126855,-6.58772204020078,-11.298746754366247,13.431081084228362,0.0,-67.29501394578195,-507.5454195978561,-631.3579298207061,456.4843511173221
0.7800000000000004,0.5286647679129071,-0.07424843229927756,7.261618628814252,4.49920014192478,4.4921030514556435,0.0,2.1770412671481,-0.15335432046020758,-7.181399890463818,-12.196320172454893,13.277634636307335,0.0,-203.18315431137003,-452.2300494780212,-596.9975184498662,399.2836240634833
0.8400000000000004,0.6742181296298441,-0.08113074271541991,6.811642851369247,3.2556936682371003,5.352793543503584,0.0,2.665452513837068,-0.06024882475106237,-7.806258797590004,-14.113946649523713,13.18915588810386,0.0,-62.7159531527805,-410.4503479773823,-595.1633459907673,229.04058681252752
0.9000000000000005,0.8377998311157795,-0.08501794961773075,6.315628344501583,2.7433433920786072,1.6551671506305299,0.0,2.5933577466592252,-0.049562568736213175,-8.719472557617399,-14.31426401404442,13.649375110044415,0.0,26.382705998627166,-456.0750568549372,-576.3721580316176,348.913164116567
0.9600000000000005,0.990948960782651,-0.08822070851614212,5.776488037226181,0.4775853725800516,1.6469697050205774,0.0,2.5090321250513092,-0.051600196519257305,-9.286702124279692,-12.428419458889621,11.948878018683432,0.0,-23.97602773217551,-206.29776604106118,-291.2513877411724,202.1293676458197
1.0200000000000005,1.1369754292135237,-0.09306342384758502,5.201499154552573,5.724762052649785,0.6710785043766556,0.0,2.391950110045577,-0.13213935460750306,-9.855077499365887,-10.943629762143935,9.248599507504219,0.0,313.1738916524104,-139.7135835513754,-242.79710798882417,170.39879765391942
1.0800000000000005,1.2777273765248494,-0.1029982853235113,4.592371544248326,5.068495310750748,1.551779999131984,0.0,2.265714206234309,-0.20603136826467416,-10.466401728241813,-10.938449827341072,9.4445929063961,0.0,-118.42378073971679,-336.2322559948072,-359.97374519117164,114.5323146550076
1.1400000000000006,1.4117221529130566,-0.11685531641238647,3.943916975104851,5.773991131204152,0.8501399821853575,0.0,2.216850103525402,-0.2687493305313034,-11.116998214339237,-10.536926517569977,8.281735892661178,0.0,144.1478795132067,-125.33061635538854,-300.41223679343744,76.64650427085012
